Order ID,Customer ID,Customer Name,Gender,Age,Customer Segment,Email,Phone,City,State,Order Date,Delivery Date,Delivery Status,Delivery Partner,Return Reason,Product ID,Product Name,Size,Unit Price,Quantity,Total Amount,Discount Applied,Payment Method,Payment Status,Review Rating,Customer Lifetime Value
ORD10000,4758,Yochana Gopal,Other,46,Online,kondaprisha@example.net,9.12283E+11,Satna,Telangana,12-01-2025,19-01-2025,Delivered,Delhivery,,1,Bisleri Water Bottle 250ml,250ml,138,7,966,0.16,UPI,Pending,4.3,18580
ORD10001,3548,Chanakya Sibal,Female,48,Online,hemal13@example.net,9288721971,Deoghar,Delhi,03-07-2025,08-07-2025,Returned,XpressBees,Customer Cancelled,1,Bisleri Water Bottle 250ml,250ml,138,2,276,0.17,Debit Card,Paid,1.7,17128
ORD10002,2128,Chanchal Hans,Male,50,Online,shroffshivani@example.net,4612385017,Ramagundam,Tamil Nadu,26-08-2024,05-09-2024,Returned,Delhivery,Late Delivery,1,Bisleri Water Bottle 250ml,250ml,138,19,2622,0.09,Net Banking,Pending,3.5,16111
ORD10003,6989,Veda Lalla,Female,35,Online,vkala@example.com,6859524601,Ozhukarai,Rajasthan,13-05-2025,17-05-2025,Delivered,BlueDart,,4,Bisleri Water Bottle 2L,2L,29,10,290,0.06,Credit Card,Failed,1,19620
ORD10004,9593,Wahab Doshi,Male,64,Retail,mahikaagate@example.net,7576013541,Alappuzha,Uttar Pradesh,27-07-2025,05-08-2025,Pending,XpressBees,,5,Bisleri Water Bottle 5L,5L,120,7,840,0.27,Cash on Delivery,Paid,1.5,3229
ORD10005,1659,Onveer Dhawan,Male,39,Online,aadhya46@example.org,4830702322,Katihar,Telangana,28-10-2024,04-11-2024,Delivered,BlueDart,,1,Bisleri Water Bottle 250ml,250ml,138,7,966,0.1,Cash on Delivery,Paid,4.5,14812
ORD10006,4562,Abdul Bora,Female,34,Online,okala@example.net,4742388116,Rourkela,Delhi,03-12-2024,13-12-2024,Delivered,Ekart,,4,Bisleri Water Bottle 2L,2L,29,10,290,0.08,Net Banking,Paid,2,4181
ORD10007,7990,Rayaan Garde,Male,47,Online,panchaljeevika@example.com,9.1036E+11,Srikakulam,Rajasthan,25-05-2025,03-06-2025,Delivered,EcomExpress,,3,Bisleri Water Bottle 1L,1L,113,13,1469,0.14,Debit Card,Failed,4.2,14654
ORD10008,4475,Jalsa Dyal,Male,60,Online,tnair@example.net,9537433556,Tiruvottiyur,Rajasthan,20-05-2025,30-05-2025,Returned,BlueDart,Late Delivery,3,Bisleri Water Bottle 1L,1L,113,14,1582,0.12,Credit Card,Failed,2.2,9982
ORD10009,2836,Chaman Manne,Male,37,Retail,wrideshpal@example.org,6068822607,Visakhapatnam,Delhi,17-04-2025,25-04-2025,Delivered,BlueDart,,3,Bisleri Water Bottle 1L,1L,113,5,565,0.14,Debit Card,Pending,3,1517
ORD10010,8715,Peter Behl,Male,57,Online,ayaan26@example.org,9.15773E+11,Jaipur,Karnataka,03-07-2025,11-07-2025,Pending,Delhivery,,5,Bisleri Water Bottle 5L,5L,120,5,600,0.01,UPI,Failed,4.9,5369
ORD10011,6243,Guneet Dube,Other,59,Online,prakashanika@example.org,9.11848E+11,Hyderabad,Delhi,09-07-2025,17-07-2025,Returned,BlueDart,Damaged Product,4,Bisleri Water Bottle 2L,2L,29,10,290,0.2,UPI,Failed,1.5,5207
ORD10012,3914,Hemangini Sant,Male,58,Retail,duaanirudh@example.net,5139283946,Loni,Tamil Nadu,14-02-2025,18-02-2025,Pending,XpressBees,,4,Bisleri Water Bottle 2L,2L,29,9,261,0.16,Cash on Delivery,Pending,3.7,14340
ORD10013,3824,Daksha Saraf,Male,35,Online,karan20@example.org,2871005991,Bikaner,Gujarat,22-01-2025,28-01-2025,Delivered,Ekart,,2,Bisleri Water Bottle 500ml,500ml,26,7,182,0.16,UPI,Failed,4.2,2640
ORD10014,2161,Faraj Pant,Male,27,Retail,ygill@example.com,9119365764,South Dumdum,Gujarat,28-08-2024,07-09-2024,Pending,BlueDart,,3,Bisleri Water Bottle 1L,1L,113,6,678,0.09,Credit Card,Failed,1.9,10965
ORD10015,8226,Gaurang Iyer,Female,26,Retail,csengupta@example.com,7328982189,Bardhaman,Maharashtra,18-06-2025,26-06-2025,Returned,BlueDart,Customer Cancelled,3,Bisleri Water Bottle 1L,1L,113,15,1695,0.12,Debit Card,Failed,2.6,6622
ORD10016,3973,Anita Mangal,Other,37,Wholesale,gangulylakshit@example.net,9.10474E+11,Barasat,Telangana,11-07-2025,12-07-2025,Pending,Ekart,,1,Bisleri Water Bottle 250ml,250ml,138,2,276,0.18,Net Banking,Paid,3.9,12969
ORD10017,2499,Urishilla Verma,Male,38,Retail,craja@example.com,9.12609E+11,Kulti,Gujarat,23-10-2024,31-10-2024,Returned,XpressBees,Customer Cancelled,1,Bisleri Water Bottle 250ml,250ml,138,3,414,0.28,Net Banking,Failed,4.4,4324
ORD10018,3897,Ikbal Sahni,Other,37,Retail,umangmalhotra@example.org,6606418126,Dehri,Uttar Pradesh,06-08-2024,08-08-2024,Returned,EcomExpress,Damaged Product,4,Bisleri Water Bottle 2L,2L,29,15,435,0.1,Credit Card,Paid,1.8,10065
ORD10019,4799,Falak Ahuja,Female,53,Online,raaginikhare@example.net,1032597165,Hindupur,Delhi,13-07-2025,14-07-2025,Delivered,BlueDart,,2,Bisleri Water Bottle 500ml,500ml,26,12,312,0.11,Cash on Delivery,Paid,4.2,4722
ORD10020,1132,Vaishnavi Balakrishnan,Male,49,Wholesale,wkrishnamurthy@example.com,5241991604,Erode,Maharashtra,30-07-2025,08-08-2025,Pending,Delhivery,,5,Bisleri Water Bottle 5L,5L,120,3,360,0.29,Credit Card,Failed,4.9,8359
ORD10021,8668,Wyatt Chandran,Male,26,Wholesale,gourtara@example.com,2333154889,Vijayanagaram,Karnataka,04-12-2024,05-12-2024,Returned,BlueDart,Late Delivery,4,Bisleri Water Bottle 2L,2L,29,1,29,0.2,Cash on Delivery,Failed,2.8,4654
ORD10022,7988,Meera Ghose,Other,38,Wholesale,yahvi15@example.org,722264958,Rampur,Karnataka,17-10-2024,25-10-2024,Pending,BlueDart,,4,Bisleri Water Bottle 2L,2L,29,1,29,0.29,Net Banking,Paid,4.2,19333
ORD10023,5103,Saumya Grewal,Female,39,Retail,rehaan92@example.net,8625075294,Sagar,Delhi,12-11-2024,17-11-2024,Pending,Delhivery,,2,Bisleri Water Bottle 500ml,500ml,26,17,442,0.12,UPI,Paid,1.9,6988
ORD10024,1094,Darpan Mani,Female,40,Wholesale,rajbarkha@example.net,9.13053E+11,Tadipatri,Karnataka,12-02-2025,17-02-2025,Pending,Delhivery,,5,Bisleri Water Bottle 5L,5L,120,12,1440,0.09,Credit Card,Paid,4.8,16997
ORD10025,6922,Waida Bumb,Other,21,Wholesale,rvirk@example.org,1770758989,Jamnagar,Karnataka,05-11-2024,08-11-2024,Returned,BlueDart,Damaged Product,2,Bisleri Water Bottle 500ml,500ml,26,19,494,0.05,Net Banking,Paid,3.5,2224
ORD10026,3304,Dalaja Tripathi,Other,27,Retail,dprashad@example.net,9.12471E+11,Indore,Uttar Pradesh,24-11-2024,26-11-2024,Returned,Delhivery,Other,3,Bisleri Water Bottle 1L,1L,113,20,2260,0.21,Debit Card,Paid,1.9,5140
ORD10027,8722,Vamakshi Madan,Male,29,Retail,jsengupta@example.net,9.18249E+11,Bellary,Telangana,13-05-2025,18-05-2025,Pending,XpressBees,,2,Bisleri Water Bottle 500ml,500ml,26,5,130,0.24,Credit Card,Failed,1.6,14415
ORD10028,5727,Ryan Handa,Other,38,Retail,bediayaan@example.org,9.11742E+11,Kirari Suleman Nagar,Gujarat,16-08-2024,20-08-2024,Returned,BlueDart,Other,5,Bisleri Water Bottle 5L,5L,120,19,2280,0.26,UPI,Pending,4.6,20443
ORD10029,2254,David Yohannan,Male,36,Wholesale,leena97@example.net,8018305777,Kozhikode,Maharashtra,01-04-2025,08-04-2025,Delivered,BlueDart,,5,Bisleri Water Bottle 5L,5L,120,6,720,0.18,Cash on Delivery,Pending,1,2067
ORD10030,4327,Yagnesh Lanka,Male,37,Online,anusha86@example.org,8170633950,Mango,Gujarat,01-02-2025,09-02-2025,Delivered,EcomExpress,,3,Bisleri Water Bottle 1L,1L,113,14,1582,0.14,Cash on Delivery,Paid,2.2,19047
ORD10031,9256,Megha Sur,Male,22,Retail,kamyaiyengar@example.org,9.11623E+11,Morbi,West Bengal,02-02-2025,06-02-2025,Pending,BlueDart,,5,Bisleri Water Bottle 5L,5L,120,19,2280,0.08,Cash on Delivery,Paid,4,12709
ORD10032,7454,Urvi Parmer,Female,22,Retail,ramaswamypallavi@example.com,9.13673E+11,Medininagar,Karnataka,09-12-2024,19-12-2024,Delivered,EcomExpress,,5,Bisleri Water Bottle 5L,5L,120,19,2280,0.17,Credit Card,Failed,3.4,13602
